"","ccode","country.name","year","Biodiversity - naturalness","CO2 Emissions per Capita","SO2 Emissions per Capita","Total CO2 Emissions","Total SO2 Emissions"
"1",4,"Afghanistan",1500,0.97263137,NA,NA,NA,NA
"2",8,"Albania",1500,0.9325373,NA,NA,NA,NA
"3",12,"Algeria",1500,0.99056443,NA,NA,NA,NA
"4",20,"Andorra",1500,0.92973184,NA,NA,NA,NA
"5",24,"Angola",1500,0.98060191,NA,NA,NA,NA
"6",28,"Antigua and Barbuda",1500,0.93212088,NA,NA,NA,NA
"7",32,"Argentina",1500,0.99936292,NA,NA,NA,NA
"8",51,"Armenia",1500,0.9582116,NA,NA,NA,NA
"9",36,"Australia",1500,0.99999659,NA,NA,NA,NA
"10",40,"Austria",1500,0.80607553,NA,NA,NA,NA
"11",31,"Azerbaijan",1500,0.96408857,NA,NA,NA,NA
"12",44,"Bahamas",1500,0.99124122,NA,NA,NA,NA
"13",48,"Bahrain",1500,0.99098162,NA,NA,NA,NA
"14",50,"Bangladesh",1500,0.80171072,NA,NA,NA,NA
"15",52,"Barbados",1500,0.99106558,NA,NA,NA,NA
"16",112,"Belarus",1500,0.97899323,NA,NA,NA,NA
"17",56,"Belgium",1500,0.6421298,NA,NA,NA,NA
"18",84,"Belize",1500,0.99835366,NA,NA,NA,NA
"19",204,"Benin",1500,0.8926936,NA,NA,NA,NA
"20",64,"Bhutan",1500,0.99817826,NA,NA,NA,NA
"21",68,"Bolivia",1500,0.99576688,NA,NA,NA,NA
"22",70,"Bosnia and Herzegovina",1500,0.93133305,NA,NA,NA,NA
"23",72,"Botswana",1500,0.99448251,NA,NA,NA,NA
"24",76,"Brazil",1500,0.9994065,NA,NA,NA,NA
"25",96,"Brunei",1500,0.99784683,NA,NA,NA,NA
"26",100,"Bulgaria",1500,0.92543417,NA,NA,NA,NA
"27",854,"Burkina Faso",1500,0.97184915,NA,NA,NA,NA
"28",108,"Burundi",1500,0.9096757,NA,NA,NA,NA
"29",116,"Cambodia",1500,0.98589433,NA,NA,NA,NA
"30",120,"Cameroon",1500,0.97722771,NA,NA,NA,NA
"31",124,"Canada",1500,0.99959499,NA,NA,NA,NA
"32",132,"Cape Verde",1500,1,NA,NA,NA,NA
"33",140,"Central African Republic",1500,0.99498915,NA,NA,NA,NA
"34",148,"Chad",1500,0.98848045,NA,NA,NA,NA
"35",152,"Chile",1500,0.99558903,NA,NA,NA,NA
"36",156,"China",1500,0.95849026,NA,NA,NA,NA
"37",170,"Colombia",1500,0.96315191,NA,NA,NA,NA
"38",174,"Comoros",1500,0.9601036,NA,NA,NA,NA
"39",178,"Congo",1500,0.98945432,NA,NA,NA,NA
